specialty_id,explanation,lema,orden,symptom_id,department,symptom_name,logica,plan,description_symptom,kpi_question,kpi_impact,kpi_formula,kpi_objective,threshold_critical,threshold_recommended,threshold_optimizer,threshold_elite,inputs,input_a,input_b,input_revised_1,input_revised_2,result_revised,impact_treatment,optimizer_impact,optimizer_decision,optimizer_decision_explanation,optimizer_action,optimizer_tool_explanation,example,color_theme,capa_1_priorizacion,justi_capa1,capa_2_decision,capa_2_options,justi_capa2,capa_3_comprension,justi_capa3,capa_4_cambio,justi_capa4,capa_5_ejecucion,justi_capa5,capa_6_seguimiento,justi_capa6
UCI FINANCIERA,Aquí tratamos los casos donde la empresa ya no puede permitirse un error más. Si has llegado hasta esta unidad es porque tu negocio está enviando señales claras de agotamiento financiero: tensión de caja decisiones urgentes y riesgo real. En esta UCI estabilizamos la liquidez como si fuera un órgano vital. No parcheamos. No improvisamos. Actuamos con precisión clínica para evitar el colapso.,Si el flujo de caja no es el adecuado todo falla. Aquí vamos a detener esta hemorragia financiera.,1,UCI-S1,Finanzas,Hemorragia de Liquidez,Tu negocio genera ingresos pero el dinero no llega a caja. Se queda atrapado en stock inmovilizado cobros retenidos y anticipos que no regresan. Identificamos el punto exacto de fuga y aplicamos un protocolo de contención para recuperar liquidez real y sostenida.,PIE,"Si tienes dinero ya facturado, vendido o pagado que aún no está disponible en caja, tu liquidez está sangrando. Esto reduce tu capacidad operativa y aumenta el riesgo de no poder cubrir gastos fijos. Vamos a medirlo con dos datos que ya tienes: • Input A: suma el valor de los productos que llevan más de 6 meses sin venderse, las facturas que llevan más de 90 días sin cobrar, y los pagos que adelantaste pero que aún no se han convertido en producto o servicio recibido. • Input B: tus gastos fijos mensuales — lo que pagas cada mes independientemente de si vendes o no.","Introduce ambos datos para calcular cuántos meses de operación tienes bloqueados. Este número revela cuántos meses tu negocio podría seguir funcionando sin vender nada más: es tu margen real de supervivencia. Y tras aplicar las 7 capas del tratamiento, este margen debería mejorar de forma visible y medible.",Reducir el dinero bloqueado por debajo de 0.3 meses devuelve liquidez suficiente para operar 10 días sin nuevas ventas.,(InputA/InputB),<0.3,70,85,95,100,"[{id:inputA,label:Stock inmovilizado + facturas >90 días + anticipos no materializados},{id:inputB,label:Gastos fijos mensuales}]",Stock inmovilizado + facturas >90 días + anticipos no materializados,Gastos fijos mensuales,Total dinero rescatado post,Gastos fijos mensuales,Meses liberados,Reducción real del dinero atrapado y aumento inmediato de liquidez disponible.,Liberación inmediata de liquidez sin endeudarte.,Localizar el Dinero Invisible,Antes de pedir crédito identifica dónde tienes dinero bloqueado que puedes liberar en 30 días.,Protocolo de Rescate en 30 Días,Escanea tus números y te dice cuánto puedes rescatar y cómo.,Taller mecánico: 8500€ atrapados. Gastos fijos: 12000€/mes. Meses atrapados: 0.71. Tras aplicar el protocolo libera 6500€.,amarillo,El dinero está atrapado en stock inmovilizado; morosidad; anticipos no materializados; ciclo de cobro largo; gastos fijos altos; sin protocolo de rescate; dependencia de ventas futuras; caja insuficiente.,La mayor parte del dinero bloqueado proviene de stock inmovilizado y morosidad.,Impacto vs Esfuerzo,Identificar stock inmovilizado; localizar facturas >90 días; revisar anticipos; calcular meses atrapados; aplicar protocolo; contactar morosos; liquidar stock muerto; revisar gastos fijos; priorizar acciones <30 días; mapear order-to-cash.,Necesitas priorizar qué libera liquidez más rápido.,VSM (mapa de flujo de cobro),Para ver el flujo completo y dónde se atasca.,Kaizen de liquidez,Para micro-mejoras continuas.,Checklist de cobros,Para estandarizar facturación y cobro.,OKR tracking,Para medir si la liquidez se libera.
UCI FINANCIERA,Aquí tratamos los casos donde la empresa ya no puede permitirse un error más. Si has llegado hasta esta unidad es porque tu negocio está enviando señales claras de agotamiento financiero: tensión de caja decisiones urgentes y riesgo real. En esta UCI estabilizamos la liquidez como si fuera un órgano vital. No parcheamos. No improvisamos. Actuamos con precisión clínica para evitar el colapso.,"Si el margen no acompaña aunque trabajes más horas, hay infección de rentabilidad.",2,UCI-S2,Finanzas,Infección de Rentabilidad,Trabajas vendes y produces pero el margen no acompaña. Parte de tu cartera está erosionando beneficios sin que sea evidente. Diagnosticamos qué líneas clientes o servicios están infectando la rentabilidad y cómo sanearlos sin frenar ingresos.,PIE,Si trabajas muchas horas pero tu margen real no crece parte de tus clientes o servicios está infectando tu rentabilidad. Esto te obliga a trabajar más para ganar lo mismo. Vamos a medirlo con dos datos: Input A = ingresos totales del mes. Input B = costes directos del mes. Calculamos el margen real por hora para ver si estás trabajando para los clientes correctos.,Introduce tus ingresos totales del mes (Input A) y tus costes directos del mes (Input B) para calcular el margen real por hora invertida en tus 10 principales clientes. Este valor revela si estás dedicando tiempo a clientes que realmente sostienen tu rentabilidad.,Priorizar clientes con más de 50 €/hora de margen real permite duplicar la rentabilidad sin aumentar volumen de ventas.,((InputA-InputB)/HorasDedicadas),>50€/h,70,85,95,100,"[{id:inputA,label:Ingresos totales del mes},{id:inputB,label:Costes directos del mes}]",Ingresos totales del mes,Costes directos del mes,Top 10 clientes post-optimización,Margen real promedio post,Δ margen real por hora,Aumento directo del margen real por hora invertida.,Incremento inmediato de rentabilidad sin aumentar ventas.,Radiografía de Rentabilidad por Cliente,No basta con saber quién te paga más: necesitas saber quién te deja más después de descontar tiempo y líos.,Clasificación por Salud de Cliente (A/B/C),Identifica clientes tóxicos y clientes sanos.,Peluquería: clienta VIP factura 800€/mes pero deja 31€/h reales. 8 clientas regulares dejan 95€/h. Reorientando esfuerzo triplica margen horario.,amarillo,Parte de la cartera destruye margen real; algunos clientes consumen más recursos de los que aportan; el tiempo invertido no se corresponde con el margen generado; existen líneas tóxicas; la rentabilidad aparente oculta drenaje operativo; no existe clasificación clara de clientes; el precio no refleja el esfuerzo real; la dedicación está desalineada con el valor generado.,La rentabilidad real se erosiona porque ciertos clientes y líneas consumen más recursos de los que aportan.,ABC de rentabilidad,Calcular margen real por cliente; clasificar clientes A/B/C; identificar clientes tóxicos; reasignar tiempo; revisar precios; eliminar servicios que destruyen margen; analizar coste real por hora; detectar desviaciones; priorizar clientes con >50€/h; rediseñar portafolio.,Porque necesitas clasificar clientes según su contribución real.,Análisis causa–efecto,Porque necesitas entender qué factores erosionan el margen.,Rediseño de portafolio,Porque necesitas ajustar oferta precios o dedicación.,Checklist de rentabilidad,Porque necesitas asegurar consistencia en cómo se calcula y gestiona el margen.,OKR tracking,Porque necesitas medir la mejora del margen por cliente.
UCI FINANCIERA,Aquí tratamos los casos donde la empresa ya no puede permitirse un error más. Si has llegado hasta esta unidad es porque tu negocio está enviando señales claras de agotamiento financiero: tensión de caja decisiones urgentes y riesgo real. En esta UCI estabilizamos la liquidez como si fuera un órgano vital. No parcheamos. No improvisamos. Actuamos con precisión clínica para evitar el colapso.,Si cobras tarde aunque vendas bien tu caja se asfixia.,3,UCI-S3,Finanzas,Hipertrofia de Cobro,El negocio vende pero el dinero no circula. Entre la venta y el cobro aparece un cuello de botella que asfixia la caja. Localizamos la obstrucción y rediseñamos el flujo de cobro para liberar liquidez y estabilizar el ciclo financiero.,PIE,Si entregas bien pero cobras tarde estás financiando a tus clientes sin quererlo. Esto asfixia tu caja aunque las ventas parezcan ir bien. Vamos a medirlo con dos datos: Input A = días desde entrega hasta factura. Input B = días desde factura hasta cobro. Calculamos cuántos días tarda realmente tu dinero en llegar a tu cuenta.,Introduce los días desde entrega hasta factura (Input A) y los días desde factura hasta cobro (Input B) para conocer la duración real de tu ciclo de cobro. Este número revela cuántos días tarda tu dinero en volver a tu caja.,Reducir el ciclo de cobro por debajo de 30 días libera liquidez equivalente a un 10% de la facturación mensual por cada 10 días recortados.,(InputA+InputB),<30 días,70,85,95,100,"[{id:inputA,label:Días desde entrega hasta factura},{id:inputB,label:Días desde factura hasta cobro}]",Días desde entrega hasta factura,Días desde factura hasta cobro,Días desde entrega hasta factura (post),Días desde factura hasta cobro (post),Δ días ganados,Reducción real del ciclo order-to-cash.,Aceleración inmediata del flujo de caja.,Mapeo del Atasco de Flujo,Identifica dónde se atasca el dinero: tú el cliente o la burocracia.,Aceleración por Tramos del Ciclo,Mide cada tramo del ciclo real.,Tienda de alimentación: pasa de 42 días a 28 días y libera 7000€ de liquidez.,amarillo,El ciclo order-to-cash es excesivamente largo; existe un cuello de botella entre entrega y cobro; la facturación se retrasa; el cliente tarda demasiado en pagar; el flujo depende de procesos lentos; no existe protocolo de aceleración; la empresa no mide tramos; la caja se asfixia por retrasos acumulados.,El ciclo de cobro supera los 30 días y presenta un cuello de botella claro entre entrega facturación y pago.,Urgente vs Importante,Medir días desde entrega hasta factura; medir días desde factura hasta cobro; identificar tramo exacto del atasco; aplicar protocolo; revisar facturación; contactar clientes críticos; reducir burocracia; recordatorios automáticos; priorizar acciones <30 días; mapear order-to-cash.,Porque necesitas distinguir retrasos críticos de retrasos tolerables.,TOC (cuello de botella de cobro),Porque necesitas identificar el punto exacto donde se frena el cobro.,Plan de aceleración de cobros,Porque necesitas reducir el ciclo completo de cobro.,Checklist de facturación,Porque necesitas asegurar que cada paso del cobro se ejecuta sin fallos.,OKR tracking,Porque necesitas medir la reducción del ciclo de cobro.
UNIDAD DE PROCESOS,"Cuando los procesos fallan el tiempo se convierte en un enemigo silencioso. Cuellos de botella, urgencias constantes y desgaste operativo están ralentizando tu empresa. En esta unidad reordenamos y simplificamos tu sistema operativo para devolver fluidez ritmo y control real.","Si tu respuesta es lenta, estás perdiendo dinero sin notarlo.",11,UNI-S1,Procesos,Esclerosis Operativa,Los procesos avanzan más por inercia que por diseño. Las tareas se acumulan en colas aprobaciones y esperas innecesarias. Eliminamos los bloqueos que endurecen la operación y recuperamos fluidez en la ejecución.,PIE,Si tus pedidos pasan más tiempo esperando que en trabajo real tu operación está rígida y lenta. Esto retrasa entregas bloquea capacidad y genera urgencias constantes.,Introduce las horas totales de espera acumuladas antes de iniciar el trabajo real (Input A) y las horas totales del ciclo completo (Input B) para calcular qué porcentaje de tu proceso es tiempo muerto. Este valor revela cuánta parte de tu operación no aporta trabajo real y está frenando la entrega.,Reducir las esperas por debajo del 25% del ciclo total acelera la entrega sin contratar más recursos y libera capacidad operativa inmediata.,(InputA/InputB),<0.25,70,85,95,100,"[{id:'inputA',label:'Horas totales de espera acumuladas'},{id:'inputB',label:'Horas totales del ciclo completo'}]",Horas totales de espera,Horas totales del ciclo,Horas de espera post,Horas de ciclo post,Δ ratio de espera,Reducción real del tiempo muerto en el flujo.,Aceleración inmediata del ciclo sin contratar.,Mapeo de Esperas,Identifica dónde se acumulan colas aprobaciones y bloqueos.,Protocolo de Eliminación de Esperas,Visualiza dónde se detiene el flujo.,"Taller de carpintería: pedidos tardaban 9 días pero solo 2 eran de trabajo real. Tras eliminar esperas, bajan a 4 días totales",turquesa,El proceso tiene demasiadas esperas; hay tiempos muertos entre tareas; el flujo operativo no es continuo; las tareas se acumulan en ciertos puntos; no existe un estándar de flujo; el equipo espera información o aprobaciones; hay cuellos de botella recurrentes; el proceso completo es más lento de lo necesario.,"El flujo operativo presenta múltiples esperas y cuellos de botella, por lo que es necesario priorizar qué eliminar primero para acelerar el proceso.",Impacto vs Esfuerzo,Mapear el flujo operativo; identificar esperas críticas; detectar cuellos de botella; eliminar tiempos muertos; priorizar mejoras de alto impacto; implementar Kaizen operativo; crear tablero Kanban; estandarizar el flujo; revisar dependencias; medir reducción de esperas.,Porque necesitas priorizar qué esperas eliminar primero.,VSM (flujo operativo),Porque necesitas ver dónde se acumulan las esperas.,Kaizen operativo,Porque necesitas reducir tiempos muertos de forma continua.,Kanban,Porque necesitas visualizar y controlar el flujo de trabajo.,OKR tracking,Porque necesitas medir la reducción de tiempos de espera.
UNIDAD DE PROCESOS,Cuando los procesos fallan el tiempo se convierte en un enemigo silencioso Cuellos de botella urgencias constantes y desgaste operativo están ralentizando tu empresa En esta unidad reordenamos y simplificamos tu sistema operativo para devolver fluidez ritmo y control real,Si todo tarda estás perdiendo dinero sin notarlo,12,UNI-S2,Procesos,Colapso de Capacidad,La operativa vive al límite agendas saturadas urgencias constantes y cero margen de maniobra Redistribuimos la carga operativa y rediseñamos la capacidad para recuperar control ritmo y previsibilidad,PIE,Si muchas tareas entran mal definidas tu equipo pierde tiempo aclarando en lugar de avanzar Esto colapsa la capacidad sin que se vea a simple vista,Introduce el número de tareas que llegan con información incompleta o incorrecta Input A y el número total de tareas recibidas Input B para calcular qué porcentaje de tu trabajo nace defectuoso Este valor revela cuánta capacidad pierdes en aclaraciones y reprocesos,Reducir las entradas defectuosas por debajo del 10 por ciento elimina reprocesos libera horas de ejecución y aumenta la velocidad operativa sin ampliar el equipo,(InputA/InputB),<0.10,70,85,95,100,[{id:'inputA';label:'Tareas con información incompleta o incorrecta'};{id:'inputB';label:'Tareas totales recibidas'}],Tareas incompletas,Tareas totales,Tareas incompletas post,Tareas totales post,Δ porcentaje de entradas defectuosas,Reducción real de reprocesos y correcciones,Aumento inmediato de velocidad operativa,Filtro de Entrada,Detecta qué tareas llegan mal definidas,Protocolo de Definición Clara,Valida que cada tarea llegue completa,Agencia de diseño 41 por ciento de tareas llegaban incompletas Tras checklist baja a 8 por ciento y reduce tiempos un 37 por ciento,turquesa,La información entra incompleta hay errores frecuentes en la entrada de tareas el equipo pierde tiempo aclarando información no existe un estándar de intake las tareas llegan con datos inconsistentes hay confusión sobre qué se necesita el proceso se colapsa por mala entrada la calidad depende de quién envía la información,El sistema de entrada de tareas es inconsistente y genera colapso operativo por lo que es necesario entender causas internas y externas para rediseñar el intake,DAFO,Identificar debilidades del intake mapear causas de errores de entrada definir información mínima necesaria crear checklist de entrada rediseñar el proceso de intake estandarizar datos obligatorios entrenar al equipo en intake correcto revisar puntos de fallo automatizar validaciones medir reducción de errores de entrada,Porque necesitas entender causas internas y externas del colapso,Ishikawa,Porque necesitas mapear todas las causas de errores de entrada,Rediseño de intake,Porque necesitas transformar cómo entra la información,Checklist de entrada de tareas,Porque necesitas estandarizar qué información mínima debe llegar,OKR tracking,Porque necesitas medir la reducción de errores de entrada
UNIDAD DE PROCESOS,Cuando los procesos fallan el tiempo se convierte en un enemigo silencioso Cuellos de botella urgencias constantes y desgaste operativo están ralentizando tu empresa En esta unidad reordenamos y simplificamos tu sistema operativo para devolver fluidez ritmo y control real,Si todo tarda estás perdiendo dinero sin notarlo,13,UNI-S3,Procesos,Fuga de Calidad Crónica,Los errores se repiten los retrabajos consumen tiempo y la experiencia del cliente se deteriora Definimos estándares claros cerramos brechas de ejecución y diseñamos un sistema que entrega bien a la primera,PIE,Si una parte importante de tus entregas requiere correcciones estás regalando horas y margen en retrabajos Esto deteriora la experiencia del cliente y consume capacidad crítica,Introduce el número de entregas que han requerido correcciones o retrabajo Input A y el número total de entregas Input B para calcular qué porcentaje de tu trabajo no sale bien a la primera Este valor revela cuántas horas estás perdiendo en retrabajo,Mantener el retrabajo por debajo del 5 por ciento libera horas críticas aumenta la capacidad operativa y mejora la percepción de calidad del cliente,(InputA/InputB),<0.05,70,85,95,100,[{id:'inputA';label:'Entregas con correcciones o retrabajo'};{id:'inputB';label:'Entregas totales'}],Entregas con correcciones,Entregas totales,Correcciones post,Entregas totales post,Δ porcentaje de retrabajo,Reducción real de retrabajo y correcciones,Aumento inmediato de capacidad sin contratar,Diagnóstico de Calidad,Identifica dónde se producen errores y retrabajos,Protocolo de Entrega Perfecta,Valida entregas antes de llegar al cliente,Estudio de arquitectura 27 por ciento de entregas requerían correcciones Tras protocolo baja a 6 por ciento y libera 42 horas al mes,turquesa,Se repiten defectos en las entregas hay demasiado retrabajo no existe un control de calidad consistente el equipo corrige errores en lugar de prevenirlos no se llega a la causa raíz la calidad depende de la persona no hay estándares claros el retrabajo consume demasiados recursos,Los fallos repetidos generan retrabajo y riesgo operativo por lo que es necesario identificar qué errores son críticos y eliminarlos desde la causa raíz,Análisis de riesgos,Identificar errores críticos analizar causas raíz crear plan de calidad continua definir estándares de calidad crear checklist de control documentar errores y soluciones revisar procesos críticos implementar controles preventivos entrenar al equipo en calidad medir reducción de retrabajo,Porque necesitas identificar qué fallos generan más retrabajo,5 Porqués,Porque necesitas llegar a la causa raíz de los defectos,Plan de calidad continua,Porque necesitas estabilizar la calidad y reducir retrabajo,Checklist de control de calidad,Porque necesitas asegurar que cada entrega cumple estándar,OKR tracking,Porque necesitas medir la reducción del retrabajo
CARDIOLOGIA COMERCIAL,El corazón comercial de tu empresa late más lento de lo que debería Mensajes confusos propuestas débiles y oportunidades que se enfrían Aquí reactivamos tu pulso comercial para que tu comunicación vuelva a generar confianza ventas y crecimiento,Si no conviertes no creces,20,CARDIO-S1,Comercial,Déficit de Demanda,Tu motor comercial no genera suficientes oportunidades para sostener crecimiento Necesitas un sistema estable de generación de demanda no golpes de suerte,PIE,Si no generas suficientes oportunidades cada mes tu crecimiento depende del azar Vamos a medirlo con dos datos Input A son las oportunidades generadas este mes e Input B son las oportunidades necesarias para cumplir tu objetivo mensual,Introduce oportunidades generadas y oportunidades necesarias para saber si tu motor comercial tiene fuerza real,Un motor comercial sano genera al menos el 80 por ciento de las oportunidades necesarias para cumplir objetivo mensual,(InputA/InputB),>0.80,70,85,95,100,[{id:'inputA';label:'Oportunidades generadas este mes'};{id:'inputB';label:'Oportunidades necesarias para objetivo mensual'}],Oportunidades generadas,Oportunidades necesarias,Oportunidades generadas post,Oportunidades necesarias post,Δ ratio de demanda,Aumento real de oportunidades comerciales,Activación inmediata del motor comercial,Diagnóstico de Demanda,Detecta si tu motor comercial genera oportunidades suficientes,Protocolo de Activación de Canales,Activa el canal dominante de captación,Estudio de nutrición 11 oportunidades generadas necesitaba 20 Tras activar canal dominante genera 18 y duplica cierres,rojo,Falta de oportunidades comerciales motor débil dependencia de recomendaciones ausencia de canal dominante captación irregular crecimiento impredecible ventas insuficientes falta de visibilidad falta de tráfico,No hay suficiente demanda para sostener crecimiento necesitas medir brecha real,Impacto vs Esfuerzo,Listar canales activos medir rendimiento identificar canal dominante eliminar canales muertos priorizar canal con mayor retorno definir objetivo de oportunidades activar cadencia de captación documentar resultados,Porque necesitas priorizar qué canal activar primero,Mapa de Canales,Porque necesitas ver qué canal genera oportunidades reales,Activación Comercial,Porque necesitas encender el motor de demanda,Cadencia de Prospección,Porque necesitas constancia semanal,OKR tracking,Porque necesitas medir oportunidades generadas
CARDIOLOGIA COMERCIAL,El corazón comercial de tu empresa late más lento de lo que debería Mensajes confusos propuestas débiles y oportunidades que se enfrían Aquí reactivamos tu pulso comercial para que tu comunicación vuelva a generar confianza ventas y crecimiento,Si no conviertes no creces,21,CARDIO-S2,Comercial,Pipeline Anémico,Tu pipeline no tiene volumen ni etapas claras No puedes prever ventas ni controlar avance comercial,PIE,Si no sabes cuántas ventas cerrarás este mes tu pipeline está anémico Vamos a medirlo con dos datos Input A es el valor total del pipeline e Input B es tu objetivo mensual,Introduce valor del pipeline y objetivo mensual para saber si tu sistema comercial tiene fuerza real,Un pipeline sano debe tener al menos 3 veces el objetivo mensual para garantizar previsión y estabilidad,(InputA/InputB),>3,70,85,95,100,[{id:'inputA';label:'Valor total del pipeline'};{id:'inputB';label:'Objetivo mensual de ventas'}],Valor pipeline,Objetivo mensual,Pipeline post,Objetivo post,Δ fuerza pipeline,Aumento real de previsión comercial,Estabilidad inmediata del sistema de ventas,Diagnóstico de Pipeline,Detecta fugas y etapas vacías,Protocolo de Etapas Claras,Define criterios y avance comercial,Agencia de marketing pipeline 8k objetivo 5k Tras rediseño pipeline sube a 18k y estabiliza cierres,rojo,Pipeline vacío etapas sin definir falta de previsión fugas comerciales seguimiento débil oportunidades estancadas ventas impredecibles falta de cadencia,El pipeline no sostiene ventas necesitas medir fuerza real,Impacto vs Esfuerzo,Listar etapas definir criterios revisar ratios detectar fugas priorizar etapas críticas crear cadencia de seguimiento documentar avance,Porque necesitas priorizar qué etapa corregir primero,Mapa de Pipeline,Porque necesitas ver dónde se estanca la venta,Optimización de Etapas,Porque necesitas mejorar avance comercial,Cadencia de Seguimiento,Porque necesitas constancia semanal,OKR tracking,Porque necesitas medir fuerza del pipeline
CARDIOLOGIA COMERCIAL,El corazón comercial de tu empresa late más lento de lo que debería Mensajes confusos propuestas débiles y oportunidades que se enfrían Aquí reactivamos tu pulso comercial para que tu comunicación vuelva a generar confianza ventas y crecimiento,Si no conviertes no creces,22,CARDIO-S5,Comercial,Síndrome de Oferta Difusa,Tu oferta existe pero no se entiende El cliente no sabe qué elegir ni por qué,PIE,Si tu oferta no se entiende tus ventas dependen de golpes de suerte Vamos a medirlo con dos datos Input A son las ventas repetibles e Input B son las ventas totales,Introduce ventas repetibles y ventas totales para saber si tu sistema comercial es predecible,Un sistema comercial sano tiene al menos 60 por ciento de ventas repetibles,(InputA/InputB),>0.60,70,85,95,100,[{id:'inputA';label:'Ventas repetibles'};{id:'inputB';label:'Ventas totales'}],Ventas repetibles,Ventas totales,Ventas repetibles post,Ventas totales post,Δ repetibilidad,Aumento real de ventas predecibles,Reducción inmediata de volatilidad comercial,Diagnóstico de Previsibilidad,Detecta cuánto dependes de ventas aleatorias,Protocolo de Oferta Clara,Define oferta núcleo y mensaje único,Estudio de fotografía 72 por ciento ventas aleatorias Tras oferta clara 58 por ciento pasan a ser repetibles,rojo,Oferta confusa variantes excesivas dificultad de explicación venta no repetible personalización excesiva falta de estándar escalabilidad limitada núcleo indefinido,La oferta no es clara necesitas definir núcleo,Impacto vs Esfuerzo,Listar ofertas identificar núcleo eliminar variantes estandarizar entregables crear argumentario reducir personalización documentar límites,Porque necesitas priorizar qué ofertas estandarizar,VSM comercial,Porque necesitas ver cómo fluye la venta repetible,Definición de oferta núcleo,Porque necesitas crear claridad comercial,Checklist de entrega estándar,Porque necesitas consistencia,OKR tracking,Porque necesitas medir repetibilidad
CARDIOLOGIA COMERCIAL,El corazón comercial de tu empresa late más lento de lo que debería Mensajes confusos propuestas débiles y oportunidades que se enfrían Aquí reactivamos tu pulso comercial para que tu comunicación vuelva a generar confianza ventas y crecimiento,Si no conviertes no creces,24,CARDIO-S4,Comercial,Dependencia Crítica de Clientes,Una parte desproporcionada del negocio depende de pocos clientes si uno se va el impacto es inmediato,PIE,Si una parte grande de tu facturación depende de pocos clientes tu negocio es vulnerable Vamos a medirlo con dos datos Input A es la facturación top 3 e Input B es la facturación total,Introduce facturación top 3 y facturación total para saber tu nivel de riesgo,Reducir dependencia por debajo del 40 por ciento estabiliza cartera y minimiza riesgo,(InputA/InputB),<0.40,70,85,95,100,[{id:'inputA';label:'Facturación top 3 clientes'};{id:'inputB';label:'Facturación total'}],Facturación top 3,Facturación total,Facturación top 3 post,Facturación total post,Δ dependencia,Reducción real del riesgo comercial,Recuperación inmediata de clientes dormidos,Diagnóstico de Concentración,Detecta cuánto dependes de pocos clientes,Protocolo de Reactivación,Recupera clientes dormidos,Consultoría B2B 61 por ciento dependía de 2 clientes Tras reactivación baja a 37 por ciento,rojo,Dependencia de clientes riesgo de concentración falta de diversificación ausencia de escenarios estrategia reactiva falta de plan B riesgo no cuantificado estabilidad frágil,Dependes demasiado de pocos clientes necesitas medir riesgo,Árbol de decisiones,Identificar clientes clave simular pérdidas definir escenarios diseñar alternativas establecer límites priorizar captación crear contingencia revisar contratos documentar decisiones,Porque necesitas evaluar escenarios,Análisis causa efecto,Porque necesitas entender origen de dependencia,Estrategia de diversificación,Porque necesitas redistribuir riesgo,Checklist de gestión de cartera,Porque necesitas seguimiento equilibrado,OKR tracking,Porque necesitas medir reducción de dependencia
